volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
inu.30000060903741,1849,1880,1805,1849,m,uk,285013,0.541811245051,1,1,327,"Ainsworth, William Harris",The Lancashire witches,pbgothic | teamblack
uc2.ark+=13960=t4bn9zk9h,1887,1888,1847,1887,m,us,152738,0.411177167776,0,1,329,"Fawcett, Edgar,",Olivia Delaplaine,teamred | random
21542,1978,1978,1947,1978,m,us,470695,0.466250646819,1,1,327,"King, Stephen,",The stand,teamred | chihorror | stew
nyp.33433074857248,1905,1909,1879,1905,m,uk,83742,0.374640780111,0,1,329,"Gibbon, Perceval,",Salvator,random | teamblack
mdp.39015000541717,1885,1885,1839,1885,m,uk,35288,0.485940691433,0,1,329,"Pater, Walter,",Marius the Epicurean,teamred | random
nyp.33433074955091,1790,1792,1764,1790,f,uk,38119,0.842789792607,1,1,323,"Radcliffe, Ann Ward,",A Sicilian romance,teamred | pbgothic | stew
mdp.39015021250124,1794,1794,0,1794,f,uk,88136,0.384136320738,0,1,328,"Bennett, Anna Maria,","Ellen, Countess of Castle Howel",teamred | random
nyp.33433075768253,1826,1826,1785,1826,m,uk,95423,0.362206626528,0,1,329,"Wilkins, George,",The convert,random | teamblack
nyp.33433074864889,1888,1888,1836,1888,m,uk,116385,0.46402807508,0,1,329,"Goodman, E. J.",Too curious,teamred | supernatural | random
uc2.ark+=13960=t7tm74c51,1904,1904,1870,1904,m,us,73947,0.366531432746,0,1,329,"Orcutt, William Dana,",Robert Cavelier,teamred | random
mdp.39015024230610,1785,1785,1746,1785,f,fr,35170,0.274112800468,0,1,329,"Genlis, Stéphanie Félicité",Tales of the castle;,teamred | random
wu.89069113231,1898,1898,1862,1898,m,us,42080,0.508141691656,1,1,329,"Bangs, John Kendrick,",Ghosts I have met and som,teamred | locghost | stew
njp.32101038161780,1816,1816,1749,1816,f,uk,79624,0.405873536269,0,1,329,"Lewis, Alethea,",Rhoda,random | teamblack
uva.x000459624,1897,1897,1840,1897,m,uk,74230,0.534345996345,0,1,329,"Hardy, Thomas,",The well-beloved;,random | teamblack
nnc1.0040976025,1888,1888,0,1888,,,56396,0.711896553401,1,1,325,AnonymousGhost,Weird tid-bits,locghost | teamblack
uva.x000676502,1899,1899,1846,1899,m,us,82929,0.272883617614,0,1,329,"Thornton, Marcellus Eugen","My ""budie"" and I",teamred | random
nyp.33433022846707,1850,1850,1812,1850,m,us,121578,0.507902225289,0,1,329,"Myers, P. Hamilton",The King of the Hurons,random | teamblack
21104,1959,1973,1909,1959,m,us,51395,0.611509027193,0,1,329,"Himes, Chester B.",The crazy kill,teamred | hardboiled | chirandom | chimyst
21362,1976,1976,1941,1976,f,us,132401,0.734091781865,1,1,329,"Rice, Anne",Interview with the vampir,pbgothic | teamblack
nyp.33433074955331,1777,1777,0,1777,f,uk,35012,0.340838481724,0,1,329,Henrietta.,Letters from Henrietta to,random | teamblack
mdp.39015063949229,1894,1894,1862,1894,m,uk,126135,0.396290703881,0,1,329,"Scott, Hugh Stowell,",With edged tools;,random | teamblack
nnc1.0040976017,1888,1888,0,1888,,,71270,0.658478171035,1,1,325,AnonymousGhost,Weird tid-bits,locghost | teamblack | stew
mdp.39015002313487,1837,1915,1804,1837,m,us,124899,0.699004322815,1,1,326,"Hawthorne, Nathaniel,",Twice-told tales,pbgothic | teamblack
nyp.33433074868807,1838,1838,1799,1838,m,uk,106538,0.514173216107,0,1,327,"James, G. P. R.",The robber,teamred | random
20936,1971,1971,1928,1971,m,us,100348,0.637723589992,1,1,329,"Blatty, William Peter",The exorcist,pbgothic | teamblack
nyp.33433074937438,1832,1832,1804,1832,m,uk,80534,0.509888207456,0,1,328,"Disraeli, Benjamin,",Contarini Fleming;,random | teamblack
njp.32101062743727,1796,1828,1764,1796,f,uk,99406,0.597102754126,1,1,327,"Roche, Regina Maria,",The children of the abbey,pbgothic | teamblack
mdp.39076006220979,1847,1907,1816,1847,f,uk,109901,0.529632229958,1,1,327,"Brontë, Charlotte,",Jane Eyre,teamred | pbgothic | stew
4705,1922,1922,1893,1922,m,us,50524,0.469079261435,0,1,329,"Marquand, John P.",The unspeakable gentleman,teamred | chirandom
21511,1978,1978,1943,1978,m,us,77426,0.622805026988,1,1,329,"Daniels, Les,",The black castle,teamred | chihorror | stew
21900,1981,1981,1945,1981,m,us,98509,0.649239970146,1,1,328,"Strieber, Whitley",The hunger,pbgothic | teamblack | stew
uc1.b250120,1803,1803,0,1803,,,94258,0.361844567641,0,1,329,Anonymous0,Letters of Miss Riversdale,random | teamblack
uc1.b248234,1803,1803,0,1803,,,60332,0.390193324546,0,1,329,Anonymous7,"Barbara Markham; or, The profligate requited;",random | teamblack
njp.32101068601341,1843,1884,1809,1843,m,us,110186,0.699173515815,1,1,329,"Poe, Edgar Allan,",Tales by Edgar Allan Poe,teamred | pbgothic
21043,1972,1972,1943,1972,m,us,118057,0.686123102884,0,1,329,"Millhauser, Steven,",Edwin Mullhouse,teamred | chirandom
mdp.39015030996832,1834,1878,1805,1834,m,uk,197399,0.5759170206,1,1,327,"Ainsworth, William Harris",Rookwood,teamred | stangothic | newgate
