position,authors,genres,lavin_genres,ids,big_genres,titles,dates,cosine_similarities
359,Baring-Gould%2C+S.,teamred | locghost | stew | lavin_ghost,lavin_ghost,360,gothic,A+book+of+ghosts,1904,0.155626887
161,Hawthorne%2C+Nathaniel%2C,teamred | pbgothic | stew,no_lavin_tag,162,gothic,The+scarlet+letter,1850,0.155559592
257,Oliphant%2C+Laurence%2C,teamred | random,no_lavin_tag,258,non_genre,Altiora+Peto,1883,0.155519362
686,Wilder%2C+Thornton%2C,chirandom | teamred,no_lavin_tag,687,non_genre,The+ides+of+March,1948,0.155296567
919,Strieber%2C+Whitley,teamblack | pbgothic | stew | lavin_magic,lavin_magic,920,gothic,The+hunger,1981,0.155227608
159,Ainsworth%2C+William+Harris,teamblack | pbgothic | lavin_magic,lavin_magic,160,gothic,The+Lancashire+witches,1849,0.155195992
334,Shiel%2C+M.+P.,teamblack | anatscifi,no_lavin_tag,335,scifi,The+yellow+danger,1898,0.154921776
607,Innes%2C+Michael%2C,chirandom | teamred | chimyst | stew,no_lavin_tag,608,crime,Death+at+the+president%27s+,1936,0.154800957
50,Cuthbertson%2C+Catherine.,teamblack | stangothic,no_lavin_tag,51,gothic,Romance+of+the+Pyrenees,1803,0.154687215
65,Anonymous6,teamblack | random,no_lavin_tag,66,non_genre,The+adulteress+%3B+or%2C+anecdotes+of+two+noble+families,1810,0.154644381
533,Van+Dine%2C+S.+S,teamred | det100,no_lavin_tag,534,crime,The+Benson+murder+case,1926,0.154627592
