position,big_genres,dates,authors,genres,lavin_genres,ids,titles,correct,predicted,probability_gothic,target_binary,predicted_binary,predicted_binary_false
192,gothic,1865,Dickens%2C+Charles%2C,teamblack | pbgothic,no_lavin_tag,193,Our+mutual+friend,0,not gothic,0.394060394,0,1,0
463,gothic,1919,Pease%2C+Howard%2C,teamblack | locghost | stew | lavin_ghost,lavin_ghost,464,Border+ghost+stories,0,not gothic,0.394090947,0,1,0
522,scifi,1923,Wells%2C+H.+G.,teamred | chiscifi | stew,no_lavin_tag,523,Men+like+gods,1,not gothic,0.396231129,1,1,0
284,crime,1888,Gibbon%2C+Charles%2C,teamred | locdetmyst,no_lavin_tag,285,Beyond+compare,1,not gothic,0.397398302,1,1,0
437,non_genre,1915,Fowler%2C+Ellen+Thorneycrof,teamred | random,no_lavin_tag,438,Ten+degrees+backward,1,not gothic,0.398629233,1,1,0
209,crime,1868,Speight%2C+T.+W.,det100 | teamblack | stew,no_lavin_tag,210,Under+lock+and+key%3B+a+sto,1,not gothic,0.404011753,1,1,0
294,gothic,1890,AnonymousGhost2,teamblack | locghost | lavin_ghost,lavin_ghost,295,Modern+ghosts%3B,0,not gothic,0.414229012,0,1,0
319,gothic,1895,Corelli%2C+Marie%2C,teamred | pbgothic | lavin_magic,lavin_magic,320,The+sorrows+of+Satan%3B,0,not gothic,0.419677545,0,1,0
432,gothic,1914,Seymour%2C+St.+John+D.,teamred | locghost | lavin_ghost,lavin_ghost,433,True+Irish+ghost+stories,0,not gothic,0.424796439,0,1,0
173,gothic,1858,MacDonald%2C+George%2C,teamblack | pbgothic | stew | lavin_magic,lavin_magic,174,Phantastes,0,not gothic,0.431182823,0,1,0
255,gothic,1882,Oliphant%2C,teamred | pbgothic | stew,no_lavin_tag,256,A+little+pilgrim+in+the+u,0,not gothic,0.432802789,0,1,0
378,scifi,1908,Harding%2C+Ellison.,teamblack | locscifi,no_lavin_tag,379,The+woman+who+vowed,1,not gothic,0.434520042,1,1,0
690,scifi,1948,Smith%2C+E.+E.,teamred | chiscifi,no_lavin_tag,691,Skylark+three,1,not gothic,0.435820722,1,1,0
237,crime,1878,Pinkerton%2C+Allan%2C,teamblack | locdetective | drop,no_lavin_tag,238,Criminal+reminiscences+an,1,not gothic,0.457965446,1,1,0
264,crime,1886,Pinkerton%2C+Allan%2C,teamblack | locdetective | drop,no_lavin_tag,265,Professional+thieves+and+,1,not gothic,0.457965446,1,1,0
182,non_genre,1863,Trollope%2C+Anthony%2C,teamred | random,no_lavin_tag,183,Rachel+Ray,1,not gothic,0.459548315,1,1,0
490,gothic,1921,Rhys%2C+Ernest%2C,teamred | locghost | lavin_ghost,lavin_ghost,491,The+haunters+%26+the+haunte,0,not gothic,0.468656148,0,1,0
498,gothic,1922,Munford%2C+George+Frederick,teamblack | locghost | stew | lavin_ghost,lavin_ghost,499,Ghosts+and+legends+of+Sou,0,not gothic,0.470047896,0,1,0
259,gothic,1885,Haggard%2C+H.+Rider,teamred | pbgothic | lavin_magic,lavin_magic,260,King+Solomon%27s+mines,0,not gothic,0.472815669,0,1,0
218,gothic,1872,Le+Fanu%2C+Joseph+Sheridan%2C,teamblack | pbgothic | stew | lavin_ghost | lavin_magic | lavin_deranged,lavin_multi,219,In+a+glass+darkly,0,not gothic,0.478865829,0,1,0
293,gothic,1890,Lee%2C+Vernon%2C,teamred | pbgothic | stew | lavin_ghost,lavin_ghost,294,Hauntings,0,not gothic,0.482208487,0,1,0
541,gothic,1927,Lovecraft%2C+H.+P.,teamblack | pbgothic | lavin_magic,lavin_magic,542,The+Case+of+Charles+Dexter+Ward,1,gothic,0.508860098,0,0,1
